2	230. конверт (an envelope)	95	0,29	1,23	--	4,32	2,06	1,05	4,81	25,40	2,00	7,00
2	231. конструктор (construction set)	73	1	3,2	--	3,35	2	1,43	3,8	25,60	3,00	11,00
2	232. контролер (a ticket inspector)	52	2,22	3,41	--	3,86	2,72	1,81	3,4	5,90	3,00	9,00
1	233. конфета (a sweet)	99	0,08	2,52	298,00	4,81	1,12	1,00	4,61	19,60	3,00	7,00
2	234. коньки (skates)	99	0,08	3,12	--	3,65	2,2	1,04	4,72	12,00	2,00	5,00
1	235. копилка (a piggy bank)	99	0,08	2,71	231,00	3,69	2,25	1,28	4,49	2,20	3,00	7,00
2	236. копье (a spear)	91	0,57	2,54	--	2,59	2,47	1,12	4,44	10,00	2,00	5,00
1	237. корабль (a ship)	44	2,46	4,05	603,00	3,23	1,69	1,23	2,92	112,50	2,00	6,00
1	238. корень (a root)	58	1,33	2,91	487,00	3,95	2,05	1,50	3,91	63,70	2,00	5,00
1	239. корзина (a basket)	83	0,79	3,75	489,00	3,72	1,70	1,20	3,22	19,40	3,00	7,00
2	240. коридор (a corridor)	98	0,16	3,64	--	4,66	1,54	1,18	3,88	110,80	3,00	7,00
2	241. коробка (a box)	98	0,14	2,35	--	4,6	1,43	1,03	3,06	49,00	3,00	7,00
1	242. корова (a cow)	97	0,24	2,92	481,00	4,19	1,20	1,05	4,36	44,80	3,00	6,00
2	243. королева (a queen)	82	1	2,99	--	2,79	1,59	1,23	4,21	22,40	4,00	8,00
1	244. корона (a crown)	99	0,08	3,16	487,00	3,31	1,68	1,07	4,17	9,40	3,00	6,00
1	245. корсет (a corset)	100	0,00	2,74	402,00	3,30	3,64	1,33	4,68	1,90	2,00	6,00
2	246. корыто (a wash-tub)	92	0,59	2,27	--	2,71	1,95	1,51	4,58	6,40	3,00	6,00
2	247. коса (a scythe)	94	0,41	2,45	--	3,13	1,7	1,12	2,67	19,10	2,00	4,00
1	248. космонавт (an astronaut)	93	0,45	3,74	442,00	3,34	2,06	1,13	3,97	14,60	3,00	9,00
1	249. костер (a fire)	97	0,22	3,19	443,00	4,15	1,81	1,13	4,09	48,00	2,00	6,00
1	250. костыль (a crutch)	100	0,00	2,61	264,00	3,31	2,69	1,27	4,66	9,20	2,00	6,00
2	251. кость (a bone)	95	0,32	1,7	--	3,58	1,61	1,11	4,56	58,50	1,00	4,00
2	252. костюм (a costume)	97	0,24	2,47	--	4,38	2,08	1,26	4,27	81,30	2,00	6,00
1	253. кошелек (1) (a wallet)	47	1,59	2,99	171,00	4,59	1,95	1,12	3,30	11,40	3,00	7,00
1	254. кошка (a cat)	55	1,27	3,12	394,00	4,74	1,07	1,02	4,13	50,40	2,00	5,00
