139	крутить	twist	58	2,33	2,48	158	3,53	1,94	1,74	2,77	26,8	2	6	2	off	off	off
140	крякать	quack	90	0,72	2,20	156	2,87	1,42	1,43	4,84	1,4	3	8	1	off	off	off
141	кукарекать	crow	81	1,01	2,65	326	3,42	1,63	1,05	4,83	0,7	5	11	1	off	off	off
142	купать	bathe tr	75	0,99	2,70	240	3,69	1,46	1,19	4,77	2,3	3	7	2	off	on	off
144	курить	smoke	97	0,24	1,88	133	4,35	2,17	1,05	4,78	65,5	2	5	2	off	off	off
145	кусать	bite	60	2,21	2,99	266	3,27	1,26	1,07	3,81	8,5	3	7	2	off	off	off
146	лаять	bark	66	1,57	2,36	174	3,74	1,26	1,17	4,77	7,1	2	5	1	off	off	off
147	лепить	sculpt	91	0,68	3,01	240	4,14	1,13	1,04	4,30	8,2	2	5	2	off	off	off
148	лететь	fly	80	1,21	1,88	208	2,97	1,24	1,07	3,15	82,9	2	5	1	off	on	off
149	лететь	fly	78	1,03	1,79	110	3,77	1,37	1,15	4,25	82,9	2	5	1	off	off	off
150	лечить	treat	72	1,66	3,31	330	4,01	1,74	1,41	3,69	30,6	2	5	2	off	on	off
151	ловить	catch	75	1,39	2,44	148	3,84	1,51	1,32	3,65	48	2	5	2	off	off	off
152	ловить	catch	98	0,16	2,40	130	2,79	1,47	1,35	3,38	48	2	5	2	off	on	off
153	ломать	break	34	2,53	3,31	407	2,98	1,29	1,15	2,71	28,2	3	7	2	off	on	off
154	ломать	break	47	1,7	2,00	200	4,05	1,13	1,19	3,46	28,2	3	7	2	off	off	off
155	любить	love	61	2,65	2,34	194	4,28	1,63	2,57	3,30	503,1	2	5	2	off	off	off
156	макать	dip	73	1,66	2,28	139	3,80	1,13	1,23	2,24	1,7	3	7	3	off	off	off
157	маршировать	march	96	0,27	3,34	373	3,26	1,44	1,20	4,14	3,1	4	10	1	off	off	off
158	махать	wave	72	1,65	1,86	109	4,39	1,55	1,17	2,93	22,2	2	5	2	off	off	off
159	махать	wave	59	1,57	2,30	175	3,24	1,58	1,18	2,68	22,2	2	5	2	off	off	off
160	мерзнуть	freeze intr	63	2,1	3,26	237	3,80	1,72	1,23	3,82	6,6	2	7	1	off	off	off
161	месить	knead	72	1,73	2,93	203	3,52	2,15	1,30	4,61	1,9	2	5	2	off	off	off
162	мечтать	dream	90	0,60	3,38	217	4,56	2,19	2,00	3,28	72,4	3	8	2	off	off	off
163	мешать	stir	47	2,45	2,45	206	3,49	1,74	1,53	3,24	100,4	3	7	2	off	on	off
164	мокнуть	get wet	91	0,68	2,93	193	4,11	1,99	1,30	4,37	2,3	2	6	1	off	off	off
165	молиться	pray	94	0,4	2,28	203	3,82	1,15	1,32	3,32	38	3	6	1	on	off	off
166	морщиться	wrinkle	40	2,08	3,07	398	4,09	2,06	1,22	4,52	9,8	3	7	1	on	off	off
167	мыть	wash tr	96	0,32	2,73	234	4,77	1,39	1,09	4,09	28,8	2	5	2	off	on	off
168	мыть	wash tr	89	0,7	2,13	198	4,62	1,21	1,07	3,58	28,8	2	5	2	off	on	off
169	мыться	wash intr	91	0,61	3,02	357	4,84	1,17	1,06	4,67	8,3	3	6	1	on	on	off
170	мычать	moo	95	0,38	2,37	205	3,19	1,52	1,15	4,87	5,9	2	5	1	off	off	off
171	мять	rumple	50	2,51	3,36	240	2,41	1,74	1,62	3,75	4,7	1	4	2	off	off	off
172	мяукать	mew	74	1,47	2,08	189	4,39	1,24	1,10	4,56	1,8	4	8	1	off	off	off
173	надевать	put on	56	1,42	2,85	164	4,68	1,21	1,16	4,36	22,5	4	9	2	on	off	off
174	надувать	inflate	99	0,08	1,82	194	3,86	1,74	1,20	2,17	3	4	9	2	off	off	off
175	накрывать	cover	50	1,89	2,86	190	3,77	1,95	1,43	4,15	6,5	4	10	2	off	on	off
176	наливать	pour	68	1,61	2,55	202	4,04	1,39	1,08	4,23	14,6	4	9	2	off	on	off
177	намазывать	spread	64	1,01	2,89	264	4,17	1,56	1,17	4,85	0,9	5	11	3	off	on	off
178	нанизывать	string	76	1,43	2,48	398	3,44	2,47	1,22	4,74	1	5	11	2	off	off	off
179	наряжать	decorate	82	0,84	2,65	293	4,34	2,48	1,33	4,02	1,5	4	9	2	off	on	off
180	настраивать	tune up	89	0,77	3,29	589	3,51	2,80	1,50	3,39	5,7	5	12	2	off	on	off
181	наступать	step over	81	1,38	2,62	375	3,02	1,57	1,15	3,19	44	4	10	2	off	off	off
182	нести	carry	94	0,4	2,02	172	4,34	1,28	1,19	3,98	120,6	2	5	2	off	off	off
183	нырять	dive	86	0,83	2,89	189	3,46	2,09	1,13	4,57	8,7	3	7	1	off	off	off
184	нюхать	smell	97	0,24	2,22	225	4,56	1,62	1,12	4,21	6,6	3	7	2	off	off	off
185	обливать	pour over	82	1,19	2,60	257	3,26	1,93	1,27	4,37	2,3	4	9	2	off	on	off
186	обливаться	pour over oneself	77	1,27	2,10	177	3,06	1,98	1,26	4,51	4,8	5	10	1	on	on	off
187	облизывать	lick	42	2,11	2,77	286	3,48	1,60	1,14	3,67	2,9	5	11	2	off	off	off
188	обмахиваться	fan oneself	76	1,10	2,53	448	3,45	2,46	1,28	4,67	0,8	6	12	2	on	on	off
189	обнимать	hug	94	0,41	2,39	264	4,59	1,82	1,12	4,68	20,2	4	9	2	off	off	off
190	обниматься	hug each other	63	1,55	2,51	240	4,60	1,92	1,19	2,11	4,9	5	10	1	on	off	off
191	обувать	help put shoes on	67	1,68	2,60	209	4,07	1,34	1,07	4,37	0,8	4	8	2	off	off	off
192	обуваться	put shoes on	69	1,49	2,07	192	4,89	1,37	1,09	4,70	0,7	5	9	1	on	off	off
193	обыскивать	search	84	1,16	3,22	226	2,43	3,05	1,57	4,30	2,7	5	11	2	off	off	off
194	одевать	dress tr	36	2,45	2,70	231	4,07	1,69	1,18	4,87	5,9	4	8	2	off	off	off
195	опускать	lower	57	2,01	3,74	844	2,55	1,90	1,38	2,66	18,3	4	9	2	off	off	off
196	останавливать	stop	60	2	2,91	190	3,72	1,92	1,53	4,18	16,6	6	14	2	off	off	off
197	открывать	open	92	0,40	2,37	138	3,75	1,24	1,19	2,81	85,7	4	10	2	off	on	on
198	открывать	open	80	1,28	2,34	243	4,66	1,33	1,12	4,43	85,7	4	10	2	off	off	off
199	отплывать	sail from	58	1,83	2,92	464	3,09	2,07	1,36	4,34	1,1	4	10	1	off	on	off
200	отрывать	tear off	99	0,08	1,83	248	3,11	1,49	1,21	3,67	11,6	4	9	2	off	off	off
201	падать	fall	96	0,32	2,64	310	3,84	1,61	1,08	4,29	84,2	3	7	1	off	off	off
202	париться	take a steam bath	90	0,73	2,98	552	3,46	2,69	1,36	4,66	3,9	3	6	1	on	on	off
203	пасти	graze	97	0,24	3,33	402	2,59	1,64	1,15	4,76	5,2	2	5	2	off	off	off
204	пастись	pasture	72	1,55	3,31	308	3,12	2,11	1,32	4,68	5,6	3	6	1	on	off	off
205	пахать	plough	78	1,10	3,27	296	2,14	2,41	1,28	4,63	9,2	2	5	2	off	on	off
206	паять	solder	85	0,99	3,12	168	2,33	2,93	1,64	4,45	0,6	3	7	2	off	on	on
207	пеленать	swaddle	95	0,36	2,67	226	3,24	2,48	1,14	4,86	1	4	9	2	off	on	on
208	перебегать	run across	76	1,24	2,77	478	4,38	1,84	1,27	4,54	4,2	5	11	2	off	off	off
209	переводить	take across	75	1,20	2,71	475	3,51	2,46	1,37	3,20	32	4	9	2	off	off	off
210	переезжать	drive across	85	0,94	3,37	502	3,71	2,29	1,54	1,89	7,5	5	11	2	off	on	off
211	перелезать	climb over	80	1,13	2,98	263	3,72	2,00	1,14	4,72	1	5	11	2	off	off	off
212	переливать	pour from one place to another	88	0,78	2,36	373	3,92	1,82	1,11	4,58	1,3	5	11	2	off	off	off
213	переплывать	sail across	58	1,68	3,25	454	2,88	2,18	1,25	3,63	0,8	5	12	2	off	on	off
214	переползать	crawl across	86	0,85	2,80	416	2,82	1,89	1,51	3,67	0,9	5	12	2	off	off	off
215	перепрыгивать	jump over	94	0,40	2,58	364	3,25	1,62	1,11	3,59	2,7	6	14	2	off	off	off
216	пересаживать	take up (a plant)	77	1,42	3,38	481	3,44	2,43	1,49	4,08	1,5	6	13	2	off	on	off
217	перетягивать	pull over	62	1,61	2,93	191	3,32	2,40	1,45	4,75	1	6	13	2	off	off	off
218	переходить	walk across	90	0,71	2,77	450	4,71	1,73	1,13	4,59	52,6	4	9	2	off	off	off
219	петь	sing	97	0,22	2,03	144	4,55	1,41	1,10	4,45	143,2	2	5	1 / 2	off	off	off
220	печатать	type	94	0,37	3,13	278	3,38	2,77	1,28	3,99	24,6	4	9	2	off	on	on
221	печь	bake	77	1,31	3,55	339	3,60	1,87	1,16	4,35	8,7	2	5	2	off	on	on
222	пилить	saw	95	0,29	2,74	144	2,94	1,87	1,08	4,70	6,3	2	5	2	off	on	on
223	пинать	kick	73	1,35	2,47	217	2,94	2,03	1,24	3,14	3,2	3	7	2	off	off	off
224	писать	write	95	0,38	1,81	95,4	4,90	2,86	1,83	4,11	444,3	2	5	2	off	on	off
225	пить	drink	93	0,45	1,80	157	4,96	2,24	1,31	4,45	200,9	1	4	2	off	on	off
226	плакать	weep	89	0,68	2,23	164	4,25	1,13	1,05	4,51	103,9	2	6	1	off	off	off
227	плевать	spit	60	1,98	2,34	146	3,52	1,73	1,12	4,53	17,6	2	6	1	off	off	off
228	плыть	sail	68	2,12	2,86	172	3,12	1,58	1,10	2,81	42,5	2	6	1	off	on	off
229	плыть	swim	90	0,64	1,82	133	4,41	2,36	1,13	4,69	42,5	2	6	1	off	off	off
230	поворачивать	turn	92	0,54	2,64	245	4,56	1,87	1,27	3,16	16,7	6	13	1	off	off	off
231	подбегать	run to	55	2,35	3,27	666	4,18	1,69	1,28	3,84	4,9	4	10	1	off	off	off
232	подглядывать	peep	69	1,08	2,67	211	2,96	1,96	1,39	4,38	3,3	5	13	1	off	off	off
233	поджигать	put on fire	96	0,30	3,02	282	2,71	2,14	1,31	3,75	3	4	10	2	off	on	off
234	подлетать	fly up to	53	2,48	2,79	285	2,72	2,22	1,55	3,78	2,1	4	10	1	off	off	off
235	подметать	sweep	65	1,06	2,96	238	4,07	1,49	1,06	4,06	3,1	4	10	2	off	on	off
236	подметать	sweep	82	0,95	2,82	210	4,24	1,70	1,07	4,65	3,1	4	10	2	off	off	off
237	подмигивать	wink	91	0,72	2,04	151	4,15	2,19	1,21	4,79	6,6	5	12	1	off	off	off
238	поднимать	lift	82	1,11	2,74	141	3,18	1,33	1,27	2,44	56,9	4	10	2	off	on	off
239	поднимать	raise	72	1,74	3,35	441	2,22	1,27	1,22	2,00	56,9	4	10	2	off	on	off
240	подниматься	walk up	95	0,38	2,40	326	4,93	1,32	1,12	3,57	75,9	5	11	1	on	off	off
241	подплывать	swim to	58	2,00	2,87	410	2,89	2,02	1,32	3,88	1,3	4	11	1	off	on	off
242	подползать	crawl to	62	2,07	2,91	363	2,78	1,87	1,35	3,56	1,3	4	11	1	off	off	off
243	поскальзываться	slip	59	1,56	2,61	414	3,46	1,95	1,19	4,26	0	6	14	1	on	off	off
244	подслушивать	overhear	93	0,43	2,52	441	3,57	2,26	1,28	4,71	4,8	5	13	1	off	off	off
245	подтягиваться	pull oneself up	96	0,3	2,15	200	3,60	2,51	1,16	4,85	2,8	6	13	1	on	on	off
246	подходить	approach	42	2,37	3,49	618	4,32	1,81	1,57	3,14	116,9	3	8	1	off	off	off
247	подчеркивать	underline	79	1,37	2,70	459	4,26	2,43	1,12	4,76	32,1	5	13	2	off	on	off
248	подъезжать	drive up	85	0,98	2,96	423	4,08	2,00	1,32	4,02	9,9	4	10	1	off	on	off
249	поить	give water	69	1,15	3,27	269	3,52	1,96	1,27	3,85	7,3	2	4	2	off	on	off
250	показывать	show	51	1,99	3,14	295	4,03	1,59	1,34	3,15	155	5	11	2	off	off	off
251	покупать	buy	87	0,78	3,11	262	4,57	1,64	1,26	4,14	74,5	4	9	2	off	on	off
252	ползти	crawl	92	0,62	2,90	157	3,19	1,49	1,10	2,75	22,7	2	6	1	off	off	off
253	поливать	water tr	98	0,16	2,55	290	4,25	1,77	1,09	4,71	11,1	4	9	2	off	on	on
254	потеть	sweat	60	1,88	2,32	150	4,36	2,37	1,64	3,96	5,3	3	7	1	off	off	off
255	прибивать	nail	54	1,86	2,50	228	3,95	2,38	1,23	4,51	1,5	4	10	2	off	on	off
256	привязывать	tie to sth	95	0,36	2,73	407	3,52	1,80	1,14	4,00	5	5	12	2	off	on	off
257	приседать	squat	96	0,27	1,74	114	4,17	1,88	1,15	4,67	3,5	4	10	1	off	off	off
258	пристегиваться	fasten oneself	77	0,96	2,70	462	4,25	2,67	1,23	4,70	0,4	6	14	1	on	on	off
259	пришивать	sew	97	0,24	2,39	394	3,98	2,01	1,12	4,75	1,8	4	10	2	off	on	off
260	продавать	sell	51	1,83	3,44	527	3,85	1,94	1,31	4,16	56,3	3	8	2	off	off	off
261	просить	ask	39	2,15	2,87	224	3,44	1,40	1,89	2,62	215,9	2	6	1	off	off	off
262	просыпаться	wake up	82	1,24	2,75	212	4,97	1,29	1,13	4,69	25,7	5	11	1	on	off	off
263	протирать	wipe	94	0,40	2,67	433	4,45	2,09	1,16	3,55	6,4	4	10	2	off	off	off
